month,year,N,unemp,trust_1,trust_2,trust_3,trust_4,trust_5,legis_1,legis_2,legis_3,legis_4
February,2018,450,NA,28.9,16.7,NA,NA,48.4,NA,NA,NA,NA
March,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
April,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
May,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
June,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
July,2018,485,NA,28,20.8,NA,NA,40.6,NA,NA,NA,NA
August,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
September,2018,485,NA,23.7,14.8,NA,NA,43.3,NA,NA,NA,NA
October,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
November,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
December,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
January,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
February,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
March,2019,485,NA,38.1,16.7,NA,NA,32.4,42.7,17.9,NA,31.3
April,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
May,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
June,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
July,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
August,2019,485,NA,35.3,17.5,NA,NA,32.6,39.6,18.6,NA,23.9
September,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
