month,year,N,unemp,trust_1,trust_2,trust_3,trust_4,trust_5,legis_1,legis_2,legis_3,legis_4
February,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
March,2016,750,NA,36.9,15.1,2.8,NA,35.7,NA,NA,NA,NA
April,2016,635,NA,35,16.7,3.3,NA,32.8,NA,NA,NA,NA
May,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
June,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
July,2016,750,NA,32.4,10.5,3.5,NA,37.3,NA,NA,NA,NA
August,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
September,2016,625,NA,33.6,12.3,4.5,NA,35.8,NA,NA,NA,NA
October,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
November,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
December,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
January,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
February,2017,750,NA,35.7,14.3,3.5,NA,35.5,40.5,14.7,NA,28.8
March,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
April,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
May,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
June,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
July,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
August,2017,749,NA,19.2,9.5,NA,0.8,49.9,NA,NA,NA,NA
September,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
October,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
November,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
December,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
January,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
February,2018,750,NA,18.3,5.2,NA,NA,56.7,NA,NA,NA,NA
March,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
April,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
May,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
June,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
July,2018,715,NA,22.9,6.9,NA,NA,55.2,NA,NA,NA,NA
August,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
September,2018,715,NA,19.3,5.9,NA,NA,59.2,NA,NA,NA,NA
October,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
November,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
December,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
January,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
February,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
March,2019,715,NA,21.4,6.7,NA,NA,47,30.1,8.5,NA,39
April,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
May,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
June,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
July,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
August,2019,715,NA,23.4,7.4,NA,NA,52.9,32.9,8,NA,41.7
September,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
